(business1)
%/NN	TF: 8
accounts/NNS	TF: 1
accounts/VBZ	TF: 1
ad/NN	TF: 1
adjust/VB	TF: 1
advert/NN	TF: 1
advertising/NN	TF: 2
alexander/NNP	TF: 1
amount/NN	TF: 1
analysts/NNS	TF: 1
aol/NNP	TF: 7
back/NN	TF: 1
benefited/VBD	TF: 1
bertelsmann/NNP	TF: 1
book/NN	TF: 1
boost/VBP	TF: 1
boosted/VBD	TF: 1
broadband/NN	TF: 1
bros/NNP	TF: 1
buoyed/VBN	TF: 1
business/NN	TF: 1
catwoman/NNP	TF: 1
chairman/NN	TF: 1
charges/NNS	TF: 1
commission/NNP	TF: 1
company/NN	TF: 2
concluding/VBG	TF: 1
connections/NNS	TF: 1
contrast/NN	TF: 1
customers/NNS	TF: 2
deal/NN	TF: 2
december/NNP	TF: 1
dip/NN	TF: 1
division/NN	TF: 1
earnings/NNS	TF: 1
efforts/NNS	TF: 1
enhancing/VBG	TF: 1
estimate/VB	TF: 1
europe/NNP	TF: 2
exceeding/VBG	TF: 1
exchange/NNP	TF: 1
executive/NN	TF: 1
existing/VBG	TF: 1
expectations/NNS	TF: 1
expects/VBZ	TF: 1
film/NN	TF: 2
firm/NN	TF: 1
flexibility/NN	TF: 1
flops/NNS	TF: 1
following/VBG	TF: 1
fortunes/NNS	TF: 1
friday/NNP	TF: 1
gains/NNS	TF: 1
google/NNP	TF: 2
grew/VBD	TF: 1
growth/NN	TF: 1
had/VBD	TF: 2
has/VBZ	TF: 3
helped/VBN	TF: 1
hopes/VBZ	TF: 1
increase/VB	TF: 1
inquiry/NN	TF: 1
intends/VBZ	TF: 1
internet/NN	TF: 4
investors/NNS	TF: 1
is/VBZ	TF: 5
items/NNS	TF: 1
jumped/VBD	TF: 1
lord/NNP	TF: 1
loss/NN	TF: 1
lost/VBD	TF: 1
margins/NNS	TF: 1
market/NN	TF: 1
media/NNS	TF: 1
meeting/NN	TF: 1
mixed/VBN	TF: 1
months/NNS	TF: 1
music/NN	TF: 1
needed/VBD	TF: 1
objectives/NNS	TF: 1
offered/VBN	TF: 1
offering/VBG	TF: 1
offset/VBP	TF: 1
one-off/NN	TF: 1
operating/VBG	TF: 1
owns/VBZ	TF: 1
parsons/NNP	TF: 1
part/NN	TF: 1
pay/VB	TF: 1
performance/NN	TF: 2
posted/VBD	TF: 1
probe/NN	TF: 1
profit/NN	TF: 4
profit/VB	TF: 1
profits/NNS	TF: 5
projecting/VBG	TF: 1
publisher/NN	TF: 1
purchase/NN	TF: 1
quarter/NN	TF: 3
quarters/NNS	TF: 1
regulators/NNS	TF: 1
reported/VBN	TF: 1
reserves/NNS	TF: 1
resolve/VB	TF: 1
restate/VB	TF: 2
results/NNS	TF: 2
revenue/NN	TF: 2
revenues/NNS	TF: 2
review/NN	TF: 1
richard/NNP	TF: 1
rings/NNP	TF: 1
rose/VBD	TF: 2
said/VBD	TF: 5
sale/NN	TF: 1
sales/NNS	TF: 4
saw/VBD	TF: 1
sec/NNP	TF: 2
securities/NNPS	TF: 1
service/NN	TF: 1
set/VB	TF: 1
set/VBD	TF: 1
settle/VB	TF: 1
sign/VB	TF: 1
slump/VB	TF: 1
stake/NN	TF: 3
subscribers/NNS	TF: 2
time/NNP	TF: 3
timewarner/NN	TF: 1
timewarner/NNP	TF: 6
trilogy/NN	TF: 1
try/VB	TF: 1
us/NNP	TF: 3
users/NNS	TF: 1
value/NN	TF: 1
warner/NNP	TF: 4
was/VBD	TF: 2
way/NN	TF: 1
were/VBD	TF: 3
wider/NN	TF: 1
£600m/NN	TF: 1


(business2)
's/VBZ	TF: 2
account/NN	TF: 3
alan/NNP	TF: 1
america/NNP	TF: 1
announce/VB	TF: 1
assets/NNS	TF: 2
back/NN	TF: 1
bank/NNP	TF: 1
be/VB	TF: 2
been/VBN	TF: 1
beijing/NNP	TF: 1
believe/VBP	TF: 2
bonds/NNS	TF: 1
boost/VB	TF: 1
budget/NN	TF: 2
buying/NN	TF: 1
calls/VBZ	TF: 1
chairman/NN	TF: 2
china/NNP	TF: 2
commentators/NNS	TF: 1
comments/NNS	TF: 1
concerns/NNS	TF: 1
concerns/VBZ	TF: 1
conditions/NNS	TF: 1
curb/VB	TF: 1
currency/NN	TF: 3
data/NNS	TF: 1
deaf/NN	TF: 1
decision/NN	TF: 1
deficit/NN	TF: 6
deficits/NNS	TF: 1
differential/NN	TF: 1
do/VBP	TF: 1
dollar/NN	TF: 6
dollars/NNS	TF: 1
ears/NNS	TF: 1
euro/NN	TF: 2
export/NN	TF: 1
factors/NNS	TF: 1
fallen/VBN	TF: 1
falls/NNS	TF: 2
february/NNP	TF: 1
federal/NNP	TF: 3
finance/NN	TF: 1
firms/NNS	TF: 1
friday/NNP	TF: 1
funded/VBN	TF: 1
g7/NNP	TF: 2
gains/NNS	TF: 1
gap/NN	TF: 1
government/NN	TF: 1
governments/NNS	TF: 1
greenback/NN	TF: 1
greenspan/NNP	TF: 3
had/VBD	TF: 1
half-point/NN	TF: 1
has/VBZ	TF: 3
have/VBP	TF: 3
head/NN	TF: 2
help/VB	TF: 2
highlighted/VBD	TF: 1
hit/VBN	TF: 2
house/NNP	TF: 1
household/NN	TF: 1
improve/VB	TF: 1
interest/NN	TF: 1
is/VBZ	TF: 3
